t,popsize,poptype,poplocation
15.9523,3.18511,N1,Wall
15.9523,8.46532,N0,Lumen
15.9523,2.36653,N1,Lumen
16.0724,8.61263,N0,Wall
16.0724,3.21255,N1,Wall
16.0724,8.60228,N0,Lumen
16.0724,2.38193,N1,Lumen
16.1919,8.75132,N0,Wall
16.1919,3.24008,N1,Wall
16.1919,8.7407,N0,Lumen
16.1919,2.39734,N1,Lumen
16.3107,8.89149,N0,Wall
16.3107,3.26769,N1,Wall
16.3107,8.8806,N0,Lumen
16.3107,2.41278,N1,Lumen
16.4289,9.03314,N0,Wall
16.4289,3.29538,N1,Wall
16.4289,9.02197,N0,Lumen
16.4289,2.42823,N1,Lumen
16.5465,9.17629,N0,Wall
16.5465,3.32315,N1,Wall
16.5465,9.16484,N0,Lumen
16.5465,2.4437,N1,Lumen
16.6635,9.32094,N0,Wall
16.6635,3.351,N1,Wall
16.6635,9.30921,N0,Lumen
16.6635,2.45919,N1,Lumen
16.7799,9.4671,N0,Wall
16.7799,3.37893,N1,Wall
16.7799,9.45508,N0,Lumen
16.7799,2.47469,N1,Lumen
16.8957,9.61477,N0,Wall
16.8957,3.40695,N1,Wall
16.8957,9.60246,N0,Lumen
16.8957,2.49021,N1,Lumen
17.0109,9.76397,N0,Wall
17.0109,3.43505,N1,Wall
17.0109,9.75136,N0,Lumen
17.0109,2.50575,N1,Lumen
17.1255,9.9147,N0,Wall
17.1255,3.46322,N1,Wall
17.1255,9.90179,N0,Lumen
17.1255,2.5213,N1,Lumen
17.2395,10.067,N0,Wall
17.2395,3.49148,N1,Wall
17.2395,10.0538,N0,Lumen
17.2395,2.53687,N1,Lumen
17.3529,10.2208,N0,Wall
17.3529,3.51982,N1,Wall
17.3529,10.2073,N0,Lumen
17.3529,2.55246,N1,Lumen
17.4658,10.3762,N0,Wall
17.4658,3.54823,N1,Wall
17.4658,10.3623,N0,Lumen
17.4658,2.56806,N1,Lumen
17.5781,10.5331,N0,Wall
17.5781,3.57673,N1,Wall
17.5781,10.5189,N0,Lumen
17.5781,2.58368,N1,Lumen
17.6898,10.6916,N0,Wall
17.6898,3.60531,N1,Wall
17.6898,10.6771,N0,Lumen
17.6898,2.59932,N1,Lumen
17.801,10.8517,N0,Wall
17.801,3.63396,N1,Wall
17.801,10.8369,N0,Lumen
17.801,2.61497,N1,Lumen
17.9116,11.0134,N0,Wall
17.9116,3.6627,N1,Wall
17.9116,10.9982,N0,Lumen
17.9116,2.63064,N1,Lumen
18.0217,11.1767,N0,Wall
18.0217,3.69151,N1,Wall
18.0217,11.1612,N0,Lumen
18.0217,2.64633,N1,Lumen
18.1313,11.3415,N0,Wall
18.1313,3.72041,N1,Wall
18.1313,11.3257,N0,Lumen
18.1313,2.66203,N1,Lumen
18.2403,11.508,N0,Wall
18.2403,3.74938,N1,Wall
18.2403,11.4918,N0,Lumen
18.2403,2.67775,N1,Lumen
18.3488,11.6761,N0,Wall
18.3488,3.77843,N1,Wall
18.3488,11.6596,N0,Lumen
18.3488,2.69349,N1,Lumen
18.4568,11.8458,N0,Wall
18.4568,3.80756,N1,Wall
18.4568,11.8289,N0,Lumen
18.4568,2.70924,N1,Lumen
18.5643,12.0172,N0,Wall
18.5643,3.83676,N1,Wall
18.5643,11.9999,N0,Lumen
18.5643,2.72501,N1,Lumen
18.6712,12.1902,N0,Wall
18.6712,3.86605,N1,Wall
18.6712,12.1726,N0,Lumen
18.6712,2.74079,N1,Lumen
18.7777,12.3649,N0,Wall
18.7777,3.89541,N1,Wall
18.7777,12.3469,N0,Lumen
18.7777,2.75659,N1,Lumen
18.8836,12.5412,N0,Wall
