pars1,popsize,population,location
101,1948.04,N1,Lumen
102,2232.13,N0,Wall
102,0,N1,Wall
102,13.8081,N0,Lumen
102,1947.96,N1,Lumen
103,2232.13,N0,Wall
103,0,N1,Wall
103,13.7992,N0,Lumen
103,1947.87,N1,Lumen
104,2232.13,N0,Wall
104,0,N1,Wall
104,13.7906,N0,Lumen
104,1947.79,N1,Lumen
105,2232.13,N0,Wall
105,0,N1,Wall
105,13.7821,N0,Lumen
105,1947.71,N1,Lumen
106,2232.13,N0,Wall
106,0,N1,Wall
106,13.7739,N0,Lumen
106,1947.64,N1,Lumen
107,2232.13,N0,Wall
107,0,N1,Wall
107,13.7658,N0,Lumen
107,1947.56,N1,Lumen
108,2232.13,N0,Wall
108,0,N1,Wall
108,13.7578,N0,Lumen
108,1947.48,N1,Lumen
109,2232.13,N0,Wall
109,0,N1,Wall
109,13.7501,N0,Lumen
109,1947.41,N1,Lumen
110,2232.13,N0,Wall
110,0,N1,Wall
110,13.7425,N0,Lumen
110,1947.34,N1,Lumen
111,2232.13,N0,Wall
111,0,N1,Wall
111,13.7351,N0,Lumen
111,1947.27,N1,Lumen
112,2232.13,N0,Wall
112,0,N1,Wall
112,13.7278,N0,Lumen
112,1947.2,N1,Lumen
113,2232.13,N0,Wall
113,0,N1,Wall
113,13.7207,N0,Lumen
113,1947.13,N1,Lumen
114,2232.13,N0,Wall
114,0,N1,Wall
114,13.7137,N0,Lumen
114,1947.06,N1,Lumen
115,2232.13,N0,Wall
115,0,N1,Wall
115,13.7068,N0,Lumen
115,1947,N1,Lumen
116,2232.13,N0,Wall
116,0,N1,Wall
116,13.7001,N0,Lumen
116,1946.94,N1,Lumen
117,2232.13,N0,Wall
117,0,N1,Wall
117,13.6936,N0,Lumen
117,1946.87,N1,Lumen
118,2232.13,N0,Wall
118,0,N1,Wall
118,13.6871,N0,Lumen
118,1946.81,N1,Lumen
119,2232.13,N0,Wall
119,0,N1,Wall
119,13.6808,N0,Lumen
119,1946.75,N1,Lumen
120,2232.13,N0,Wall
120,0,N1,Wall
120,13.6746,N0,Lumen
120,1946.69,N1,Lumen
121,2232.13,N0,Wall
121,0,N1,Wall
121,13.6685,N0,Lumen
121,1946.63,N1,Lumen
122,2232.13,N0,Wall
122,0,N1,Wall
122,13.6625,N0,Lumen
122,1946.57,N1,Lumen
123,2232.13,N0,Wall
123,0,N1,Wall
123,13.6566,N0,Lumen
123,1946.52,N1,Lumen
124,2232.13,N0,Wall
124,0,N1,Wall
124,13.6509,N0,Lumen
124,1946.46,N1,Lumen
125,2232.13,N0,Wall
125,0,N1,Wall
125,13.6452,N0,Lumen
125,1946.41,N1,Lumen
126,2232.13,N0,Wall
126,0,N1,Wall
126,13.6397,N0,Lumen
126,1946.36,N1,Lumen
127,2232.13,N0,Wall
127,0,N1,Wall
127,13.6342,N0,Lumen
127,1946.3,N1,Lumen
128,2232.13,N0,Wall
128,0,N1,Wall
128,13.6289,N0,Lumen
128,1946.25,N1,Lumen
129,2232.13,N0,Wall
129,0,N1,Wall
129,13.6236,N0,Lumen
129,1946.2,N1,Lumen
130,2232.13,N0,Wall
130,0,N1,Wall
130,13.6185,N0,Lumen
130,1946.15,N1,Lumen
131,2232.13,N0,Wall
131,0,N1,Wall
131,13.6134,N0,Lumen
131,1946.1,N1,Lumen
132,2232.13,N0,Wall
132,0,N1,Wall
132,13.6084,N0,Lumen
132,1946.05,N1,Lumen
133,2232.13,N0,Wall
133,0,N1,Wall
133,13.6035,N0,Lumen
133,1946.01,N1,Lumen
134,2232.13,N0,Wall
134,0,N1,Wall
134,13.5986,N0,Lumen
134,1945.96,N1,Lumen
135,2232.13,N0,Wall
135,0,N1,Wall
135,13.5939,N0,Lumen
135,1945.91,N1,Lumen
136,2232.13,N0,Wall
136,0,N1,Wall
136,13.5892,N0,Lumen
136,1945.87,N1,Lumen
137,2232.13,N0,Wall
137,0,N1,Wall
137,13.5846,N0,Lumen
137,1945.82,N1,Lumen
138,2232.13,N0,Wall
138,0,N1,Wall
138,13.5801,N0,Lumen
138,1945.78,N1,Lumen
139,2232.13,N0,Wall
139,0,N1,Wall
139,13.5757,N0,Lumen
139,1945.74,N1,Lumen
140,2232.13,N0,Wall
140,0,N1,Wall
140,13.5713,N0,Lumen
140,1945.69,N1,Lumen
141,2232.13,N0,Wall
141,0,N1,Wall
141,13.567,N0,Lumen
141,1945.65,N1,Lumen
142,2232.13,N0,Wall
142,0,N1,Wall
142,13.5628,N0,Lumen
142,1945.61,N1,Lumen
143,2232.13,N0,Wall
143,0,N1,Wall
143,13.5586,N0,Lumen
143,1945.57,N1,Lumen
144,2232.13,N0,Wall
144,0,N1,Wall
144,13.5545,N0,Lumen
144,1945.53,N1,Lumen
145,2232.13,N0,Wall
145,0,N1,Wall
145,13.5504,N0,Lumen
145,1945.49,N1,Lumen
146,2232.13,N0,Wall
146,0,N1,Wall
146,13.5465,N0,Lumen
146,1945.45,N1,Lumen
147,2232.13,N0,Wall
147,0,N1,Wall
147,13.5426,N0,Lumen
147,1945.41,N1,Lumen
148,2232.13,N0,Wall
148,0,N1,Wall
148,13.5387,N0,Lumen
148,1945.38,N1,Lumen
149,2232.13,N0,Wall
149,0,N1,Wall
149,13.5349,N0,Lumen
149,1945.34,N1,Lumen
150,2232.13,N0,Wall
150,0,N1,Wall
150,13.5311,N0,Lumen
150,1945.3,N1,Lumen
151,2232.13,N0,Wall
151,0,N1,Wall
151,13.5275,N0,Lumen
151,1945.27,N1,Lumen
152,2232.13,N0,Wall
152,0,N1,Wall
152,13.5238,N0,Lumen
152,1945.23,N1,Lumen
153,2232.13,N0,Wall
153,0,N1,Wall
153,13.5202,N0,Lumen
153,1945.19,N1,Lumen
154,2232.13,N0,Wall
154,0,N1,Wall
154,13.5167,N0,Lumen
154,1945.16,N1,Lumen
155,2232.13,N0,Wall
155,0,N1,Wall
155,13.5132,N0,Lumen
155,1945.13,N1,Lumen
156,2232.13,N0,Wall
156,0,N1,Wall
156,13.5098,N0,Lumen
156,1945.09,N1,Lumen
157,2232.13,N0,Wall
157,0,N1,Wall
157,13.5064,N0,Lumen
157,1945.06,N1,Lumen
158,2232.13,N0,Wall
158,0,N1,Wall
158,13.5031,N0,Lumen
158,1945.03,N1,Lumen
159,2232.13,N0,Wall
159,0,N1,Wall
159,13.4998,N0,Lumen
159,1944.99,N1,Lumen
160,2232.13,N0,Wall
160,0,N1,Wall
160,13.4965,N0,Lumen
160,1944.96,N1,Lumen
161,2232.13,N0,Wall
161,0,N1,Wall
161,13.4933,N0,Lumen
161,1944.93,N1,Lumen
162,2232.13,N0,Wall
162,0,N1,Wall
162,13.4902,N0,Lumen
162,1944.9,N1,Lumen
163,2232.13,N0,Wall
163,0,N1,Wall
163,13.4871,N0,Lumen
163,1944.87,N1,Lumen
164,2232.13,N0,Wall
164,0,N1,Wall
164,13.484,N0,Lumen
164,1944.84,N1,Lumen
165,2232.13,N0,Wall
165,0,N1,Wall
165,13.481,N0,Lumen
165,1944.81,N1,Lumen
166,2232.13,N0,Wall
166,0,N1,Wall
166,13.478,N0,Lumen
166,1944.78,N1,Lumen
167,2232.13,N0,Wall
167,0,N1,Wall
167,13.475,N0,Lumen
167,1944.75,N1,Lumen
168,2232.13,N0,Wall
168,0,N1,Wall
168,13.4721,N0,Lumen
168,1944.72,N1,Lumen
169,2232.13,N0,Wall
169,0,N1,Wall
169,13.4692,N0,Lumen
169,1944.69,N1,Lumen
170,2232.13,N0,Wall
170,0,N1,Wall
170,13.4664,N0,Lumen
170,1944.66,N1,Lumen
171,2232.13,N0,Wall
171,0,N1,Wall
171,13.4636,N0,Lumen
171,1944.64,N1,Lumen
172,2232.13,N0,Wall
172,0,N1,Wall
172,13.4608,N0,Lumen
172,1944.61,N1,Lumen
173,2232.13,N0,Wall
173,0,N1,Wall
173,13.4581,N0,Lumen
173,1944.58,N1,Lumen
174,2232.13,N0,Wall
174,0,N1,Wall
174,13.4554,N0,Lumen
174,1944.56,N1,Lumen
175,2232.13,N0,Wall
175,0,N1,Wall
175,13.4527,N0,Lumen
175,1944.53,N1,Lumen
176,2232.13,N0,Wall
176,0,N1,Wall
176,13.4501,N0,Lumen
176,1944.5,N1,Lumen
177,2232.13,N0,Wall
177,0,N1,Wall
177,13.4475,N0,Lumen
177,1944.48,N1,Lumen
178,2232.13,N0,Wall
178,0,N1,Wall
178,13.445,N0,Lumen
178,1944.45,N1,Lumen
179,2232.13,N0,Wall
179,0,N1,Wall
179,13.4424,N0,Lumen
179,1944.43,N1,Lumen
180,2232.13,N0,Wall
180,0,N1,Wall
180,13.4399,N0,Lumen
180,1944.4,N1,Lumen
181,2232.13,N0,Wall
181,0,N1,Wall
181,13.4374,N0,Lumen
181,1944.38,N1,Lumen
182,2232.13,N0,Wall
182,0,N1,Wall
182,13.435,N0,Lumen
182,1944.35,N1,Lumen
183,2232.13,N0,Wall
183,0,N1,Wall
183,13.4326,N0,Lumen
183,1944.33,N1,Lumen
184,2232.13,N0,Wall
184,0,N1,Wall
184,13.4302,N0,Lumen
184,1944.31,N1,Lumen
185,2232.13,N0,Wall
185,0,N1,Wall
185,13.4279,N0,Lumen
185,1944.28,N1,Lumen
186,2232.13,N0,Wall
186,0,N1,Wall
186,13.4255,N0,Lumen
186,1944.26,N1,Lumen
187,2232.13,N0,Wall
187,0,N1,Wall
187,13.4232,N0,Lumen
187,1944.24,N1,Lumen
188,2232.13,N0,Wall
188,0,N1,Wall
188,13.4209,N0,Lumen
188,1944.21,N1,Lumen
189,2232.13,N0,Wall
189,0,N1,Wall
189,13.4187,N0,Lumen
189,1944.19,N1,Lumen
190,2232.13,N0,Wall
190,0,N1,Wall
190,13.4165,N0,Lumen
190,1944.17,N1,Lumen
191,2232.13,N0,Wall
191,0,N1,Wall
191,13.4143,N0,Lumen
191,1944.15,N1,Lumen
192,2232.13,N0,Wall
192,0,N1,Wall
192,13.4121,N0,Lumen
192,1944.13,N1,Lumen
193,2232.13,N0,Wall
193,0,N1,Wall
193,13.41,N0,Lumen
193,1944.1,N1,Lumen
194,2232.13,N0,Wall
194,0,N1,Wall
194,13.4078,N0,Lumen
194,1944.08,N1,Lumen
195,2232.13,N0,Wall
195,0,N1,Wall
195,13.4057,N0,Lumen
195,1944.06,N1,Lumen
196,2232.13,N0,Wall
196,0,N1,Wall
196,13.4037,N0,Lumen
196,1944.04,N1,Lumen
197,2232.13,N0,Wall
197,0,N1,Wall
197,13.4016,N0,Lumen
197,1944.02,N1,Lumen
198,2232.13,N0,Wall
198,0,N1,Wall
198,13.3996,N0,Lumen
198,1944,N1,Lumen
199,2232.13,N0,Wall
199,0,N1,Wall
199,13.3976,N0,Lumen
199,1943.98,N1,Lumen
200,2232.13,N0,Wall
200,0,N1,Wall
200,13.3956,N0,Lumen
200,1943.96,N1,Lumen
201,2232.13,N0,Wall
201,0,N1,Wall
201,13.3936,N0,Lumen
201,1943.94,N1,Lumen
202,2232.13,N0,Wall
202,0,N1,Wall
202,13.3917,N0,Lumen
202,1943.92,N1,Lumen
203,2232.13,N0,Wall
203,0,N1,Wall
203,13.3897,N0,Lumen
203,1943.9,N1,Lumen
204,2232.13,N0,Wall
204,0,N1,Wall
204,13.3878,N0,Lumen
204,1943.88,N1,Lumen
205,2232.13,N0,Wall
205,0,N1,Wall
205,13.3859,N0,Lumen
205,1943.87,N1,Lumen
206,2232.13,N0,Wall
206,0,N1,Wall
206,13.3841,N0,Lumen
206,1943.85,N1,Lumen
207,2232.13,N0,Wall
207,0,N1,Wall
207,13.3822,N0,Lumen
207,1943.83,N1,Lumen
208,2232.13,N0,Wall
208,0,N1,Wall
208,13.3804,N0,Lumen
208,1943.81,N1,Lumen
209,2232.13,N0,Wall
209,0,N1,Wall
209,13.3786,N0,Lumen
209,1943.79,N1,Lumen
210,2232.13,N0,Wall
210,0,N1,Wall
210,13.3768,N0,Lumen
210,1943.77,N1,Lumen
211,2232.13,N0,Wall
211,0,N1,Wall
211,13.375,N0,Lumen
211,1943.76,N1,Lumen
212,2232.13,N0,Wall
212,0,N1,Wall
212,13.3733,N0,Lumen
212,1943.74,N1,Lumen
213,2232.13,N0,Wall
213,0,N1,Wall
213,13.3716,N0,Lumen
213,1943.72,N1,Lumen
214,2232.13,N0,Wall
214,0,N1,Wall
214,13.3698,N0,Lumen
214,1943.7,N1,Lumen
215,2232.13,N0,Wall
215,0,N1,Wall
215,13.3681,N0,Lumen
215,1943.69,N1,Lumen
216,2232.13,N0,Wall
216,0,N1,Wall
216,13.3665,N0,Lumen
216,1943.67,N1,Lumen
217,2232.13,N0,Wall
217,0,N1,Wall
217,13.3648,N0,Lumen
217,1943.65,N1,Lumen
218,2232.13,N0,Wall
218,0,N1,Wall
218,13.3631,N0,Lumen
218,1943.64,N1,Lumen
219,2232.13,N0,Wall
219,0,N1,Wall
219,13.3615,N0,Lumen
