N0,N1,Sin,c
1001.68,3.63764e+07,42,1e-06
1001.61,3.79764e+07,43,1e-06
1001.55,3.95764e+07,44,1e-06
1001.49,4.11764e+07,45,1e-06
1001.43,4.27763e+07,46,1e-06
1001.38,4.43763e+07,47,1e-06
1001.33,4.59763e+07,48,1e-06
1001.29,4.75763e+07,49,1e-06
1001.24,4.91763e+07,50,1e-06
1001.2,5.07763e+07,51,1e-06
1001.17,5.23763e+07,52,1e-06
1001.13,5.39763e+07,53,1e-06
1001.1,5.55762e+07,54,1e-06
1001.07,5.71762e+07,55,1e-06
1001.04,5.87762e+07,56,1e-06
1001.01,6.03762e+07,57,1e-06
1000.99,6.19762e+07,58,1e-06
1000.96,6.35762e+07,59,1e-06
1000.94,6.51762e+07,60,1e-06
1000.92,6.67762e+07,61,1e-06
1000.89,6.83762e+07,62,1e-06
1000.87,6.99762e+07,63,1e-06
1000.85,7.15762e+07,64,1e-06
1000.84,7.31762e+07,65,1e-06
1000.82,7.47761e+07,66,1e-06
1000.8,7.63761e+07,67,1e-06
1000.78,7.79761e+07,68,1e-06
1000.77,7.95761e+07,69,1e-06
1000.75,8.11761e+07,70,1e-06
1000.74,8.27761e+07,71,1e-06
1000.72,8.43761e+07,72,1e-06
1000.71,8.59761e+07,73,1e-06
1000.7,8.75761e+07,74,1e-06
1000.69,8.91761e+07,75,1e-06
1000.67,9.07761e+07,76,1e-06
1000.66,9.23761e+07,77,1e-06
1000.65,9.39761e+07,78,1e-06
1000.64,9.55761e+07,79,1e-06
1000.63,9.71761e+07,80,1e-06
1000.62,9.87761e+07,81,1e-06
1000.61,1.00376e+08,82,1e-06
1000.6,1.01976e+08,83,1e-06
1000.59,1.03576e+08,84,1e-06
1000.58,1.05176e+08,85,1e-06
1000.57,1.06776e+08,86,1e-06
1000.56,1.08376e+08,87,1e-06
1000.56,1.09976e+08,88,1e-06
1000.55,1.11576e+08,89,1e-06
1000.54,1.13176e+08,90,1e-06
1000.53,1.14776e+08,91,1e-06
1000.53,1.16376e+08,92,1e-06
1000.52,1.17976e+08,93,1e-06
1000.51,1.19576e+08,94,1e-06
1000.5,1.21176e+08,95,1e-06
1000.5,1.22776e+08,96,1e-06
1000.49,1.24376e+08,97,1e-06
1000.49,1.25976e+08,98,1e-06
1000.48,1.27576e+08,99,1e-06
1000.47,1.29176e+08,100,1e-06
1000.47,1.30776e+08,101,1e-06
1000.46,1.32376e+08,102,1e-06
1000.46,1.33976e+08,103,1e-06
1000.45,1.35576e+08,104,1e-06
1000.45,1.37176e+08,105,1e-06
1000.44,1.38776e+08,106,1e-06
1000.44,1.40376e+08,107,1e-06
1000.43,1.41976e+08,108,1e-06
1000.43,1.43576e+08,109,1e-06
1000.42,1.45176e+08,110,1e-06
1000.42,1.46776e+08,111,1e-06
1000.41,1.48376e+08,112,1e-06
1000.41,1.49976e+08,113,1e-06
1000.4,1.51576e+08,114,1e-06
1000.4,1.53176e+08,115,1e-06
1000.39,1.54776e+08,116,1e-06
1000.39,1.56376e+08,117,1e-06
1000.39,1.57976e+08,118,1e-06
1000.38,1.59576e+08,119,1e-06
1000.38,1.61176e+08,120,1e-06
1000.38,1.62776e+08,121,1e-06
1000.37,1.64376e+08,122,1e-06
1000.37,1.65976e+08,123,1e-06
1000.36,1.67576e+08,124,1e-06
1000.36,1.69176e+08,125,1e-06
1000.36,1.70776e+08,126,1e-06
1000.35,1.72376e+08,127,1e-06
1000.35,1.73976e+08,128,1e-06
1000.35,1.75576e+08,129,1e-06
1000.35,1.77176e+08,130,1e-06
1000.34,1.78776e+08,131,1e-06
1000.34,1.80376e+08,132,1e-06
1000.34,1.81976e+08,133,1e-06
1000.33,1.83576e+08,134,1e-06
1000.33,1.85176e+08,135,1e-06
1000.33,1.86776e+08,136,1e-06
1000.32,1.88376e+08,137,1e-06
1000.32,1.89976e+08,138,1e-06
1000.32,1.91576e+08,139,1e-06
1000.32,1.93176e+08,140,1e-06
1000.31,1.94776e+08,141,1e-06
1000.31,1.96376e+08,142,1e-06
1000.31,1.97976e+08,143,1e-06
1000.31,1.99576e+08,144,1e-06
1000.3,2.01176e+08,145,1e-06
1000.3,2.02776e+08,146,1e-06
1000.3,2.04376e+08,147,1e-06
1000.3,2.05976e+08,148,1e-06
1000.29,2.07576e+08,149,1e-06
1000.29,2.09176e+08,150,1e-06
4.2186e-05,1.84532e-15,10,3.16228e-07
0.00014812,1.22426e-28,11,3.16228e-07
33.9425,9.66176e-24,12,3.16228e-07
972240,2.29357e-07,13,3.16228e-07
20840.9,186910,14,3.16228e-07
124540,231266,15,3.16228e-07
30973.3,117408,16,3.16228e-07
29869.2,169532,17,3.16228e-07
28881,182323,18,3.16228e-07
8391.5,291639,19,3.16228e-07
3728.84,1.26493e+06,20,3.16228e-07
3396.59,2.79761e+06,21,3.16228e-07
3307.82,4.38852e+06,22,3.16228e-07
3267.74,5.98448e+06,23,3.16228e-07
3244.94,7.58216e+06,24,3.16228e-07
3230.25,9.18066e+06,25,3.16228e-07
3219.98,1.07796e+07,26,3.16228e-07
3212.41,1.23788e+07,27,3.16228e-07
3206.6,1.39782e+07,28,3.16228e-07
3201.99,1.55778e+07,29,3.16228e-07
3198.25,1.71774e+07,30,3.16228e-07
3195.16,1.87771e+07,31,3.16228e-07
3192.55,2.03768e+07,32,3.16228e-07
3190.33,2.19766e+07,33,3.16228e-07
3188.41,2.35764e+07,34,3.16228e-07
3186.74,2.51762e+07,35,3.16228e-07
3185.26,2.67761e+07,36,3.16228e-07
3183.96,2.83759e+07,37,3.16228e-07
3182.79,2.99758e+07,38,3.16228e-07
3181.75,3.15757e+07,39,3.16228e-07
3180.8,3.31756e+07,40,3.16228e-07
3179.95,3.47755e+07,41,3.16228e-07
3179.17,3.63754e+07,42,3.16228e-07
3178.45,3.79754e+07,43,3.16228e-07
3177.79,3.95753e+07,44,3.16228e-07
3177.19,4.11752e+07,45,3.16228e-07
3176.63,4.27752e+07,46,3.16228e-07
3176.11,4.43751e+07,47,3.16228e-07
3175.62,4.59751e+07,48,3.16228e-07
3175.17,4.7575e+07,49,3.16228e-07
3174.75,4.9175e+07,50,3.16228e-07
3174.36,5.0775e+07,51,3.16228e-07
3173.99,5.23749e+07,52,3.16228e-07
3173.64,5.39749e+07,53,3.16228e-07
3173.31,5.55748e+07,54,3.16228e-07
3173,5.71748e+07,55,3.16228e-07
3172.71,5.87748e+07,56,3.16228e-07
3172.43,6.03748e+07,57,3.16228e-07
3172.17,6.19747e+07,58,3.16228e-07
3171.92,6.35747e+07,59,3.16228e-07
3171.68,6.51747e+07,60,3.16228e-07
3171.46,6.67747e+07,61,3.16228e-07
3171.24,6.83746e+07,62,3.16228e-07
3171.03,6.99746e+07,63,3.16228e-07
3170.84,7.15746e+07,64,3.16228e-07
3170.65,7.31746e+07,65,3.16228e-07
3170.47,7.47746e+07,66,3.16228e-07
3170.3,7.63745e+07,67,3.16228e-07
3170.13,7.79745e+07,68,3.16228e-07
3169.98,7.95745e+07,69,3.16228e-07
3169.82,8.11745e+07,70,3.16228e-07
3169.68,8.27745e+07,71,3.16228e-07
3169.54,8.43745e+07,72,3.16228e-07
3169.4,8.59744e+07,73,3.16228e-07
3169.27,8.75744e+07,74,3.16228e-07
3169.15,8.91744e+07,75,3.16228e-07
3169.02,9.07744e+07,76,3.16228e-07
3168.91,9.23744e+07,77,3.16228e-07
3168.79,9.39744e+07,78,3.16228e-07
3168.68,9.55744e+07,79,3.16228e-07
3168.58,9.71744e+07,80,3.16228e-07
3168.48,9.87744e+07,81,3.16228e-07
3168.38,1.00374e+08,82,3.16228e-07
3168.28,1.01974e+08,83,3.16228e-07
3168.19,1.03574e+08,84,3.16228e-07
3168.1,1.05174e+08,85,3.16228e-07
3168.01,1.06774e+08,86,3.16228e-07
3167.93,1.08374e+08,87,3.16228e-07
3167.84,1.09974e+08,88,3.16228e-07
3167.76,1.11574e+08,89,3.16228e-07
3167.69,1.13174e+08,90,3.16228e-07
3167.61,1.14774e+08,91,3.16228e-07
3167.54,1.16374e+08,92,3.16228e-07
3167.47,1.17974e+08,93,3.16228e-07
3167.4,1.19574e+08,94,3.16228e-07
3167.33,1.21174e+08,95,3.16228e-07
3167.26,1.22774e+08,96,3.16228e-07
3167.2,1.24374e+08,97,3.16228e-07
3167.14,1.25974e+08,98,3.16228e-07
3167.08,1.27574e+08,99,3.16228e-07
3167.02,1.29174e+08,100,3.16228e-07
3166.96,1.30774e+08,101,3.16228e-07
3166.9,1.32374e+08,102,3.16228e-07
3166.85,1.33974e+08,103,3.16228e-07
3166.79,1.35574e+08,104,3.16228e-07
3166.74,1.37174e+08,105,3.16228e-07
3166.69,1.38774e+08,106,3.16228e-07
3166.64,1.40374e+08,107,3.16228e-07
3166.59,1.41974e+08,108,3.16228e-07
3166.54,1.43574e+08,109,3.16228e-07
3166.49,1.45174e+08,110,3.16228e-07
3166.45,1.46774e+08,111,3.16228e-07
3166.4,1.48374e+08,112,3.16228e-07
3166.36,1.49974e+08,113,3.16228e-07
3166.31,1.51574e+08,114,3.16228e-07
3166.27,1.53174e+08,115,3.16228e-07
3166.23,1.54774e+08,116,3.16228e-07
3166.19,1.56374e+08,117,3.16228e-07
3166.15,1.57974e+08,118,3.16228e-07
3166.11,1.59574e+08,119,3.16228e-07
3166.07,1.61174e+08,120,3.16228e-07
3166.04,1.62774e+08,121,3.16228e-07
3166,1.64374e+08,122,3.16228e-07
3165.96,1.65974e+08,123,3.16228e-07
3165.93,1.67574e+08,124,3.16228e-07
3165.89,1.69174e+08,125,3.16228e-07
3165.86,1.70774e+08,126,3.16228e-07
3165.83,1.72374e+08,127,3.16228e-07
3165.79,1.73974e+08,128,3.16228e-07
3165.76,1.75574e+08,129,3.16228e-07
3165.73,1.77174e+08,130,3.16228e-07
3165.7,1.78774e+08,131,3.16228e-07
