time,size,population,location
3.68191,1.82834,N0,Lumen
3.68191,2.53542e-05,N1,Lumen
3.68191,29.9939,AB,Lumen
3.74526,15.9801,R,Wall
3.74526,3.57744,N0,Wall
3.74526,2.95898e-05,N1,Wall
3.74526,0,AB,Wall
3.74526,15.987,R,Lumen
3.74526,1.84741,N0,Lumen
3.74526,2.57633e-05,N1,Lumen
3.74526,29.9938,AB,Lumen
3.80816,15.9796,R,Wall
3.80816,3.65483,N0,Wall
3.80816,3.01325e-05,N1,Wall
3.80816,0,AB,Wall
3.80816,15.9868,R,Lumen
3.80816,1.86655,N0,Lumen
3.80816,2.6176e-05,N1,Lumen
3.80816,29.9937,AB,Lumen
3.87061,15.979,R,Wall
3.87061,3.73333,N0,Wall
3.87061,3.06812e-05,N1,Wall
3.87061,0,AB,Wall
3.87061,15.9866,R,Lumen
3.87061,1.88575,N0,Lumen
3.87061,2.65923e-05,N1,Lumen
3.87061,29.9936,AB,Lumen
3.93263,15.9785,R,Wall
3.93263,3.81294,N0,Wall
3.93263,3.12358e-05,N1,Wall
3.93263,0,AB,Wall
3.93263,15.9864,R,Lumen
3.93263,1.905,N0,Lumen
3.93263,2.70122e-05,N1,Lumen
3.93263,29.9935,AB,Lumen
3.99421,15.978,R,Wall
3.99421,3.89367,N0,Wall
3.99421,3.17965e-05,N1,Wall
3.99421,0,AB,Wall
3.99421,15.9861,R,Lumen
3.99421,1.92432,N0,Lumen
3.99421,2.74357e-05,N1,Lumen
3.99421,29.9934,AB,Lumen
4.05537,15.9774,R,Wall
4.05537,3.97554,N0,Wall
4.05537,3.23632e-05,N1,Wall
4.05537,0,AB,Wall
4.05537,15.9859,R,Lumen
4.05537,1.9437,N0,Lumen
4.05537,2.78629e-05,N1,Lumen
4.05537,29.9933,AB,Lumen
4.1161,15.9769,R,Wall
4.1161,4.05854,N0,Wall
4.1161,3.2936e-05,N1,Wall
4.1161,0,AB,Wall
4.1161,15.9857,R,Lumen
4.1161,1.96313,N0,Lumen
4.1161,2.82937e-05,N1,Lumen
4.1161,29.9932,AB,Lumen
4.17642,15.9763,R,Wall
4.17642,4.14269,N0,Wall
