t,popsize,population,resource input
10.4219,0.000185764,N1,16
10.4514,35.0806,N0,16
10.4514,0.000187304,N1,16
10.51,35.7875,N0,16
10.51,0.000190407,N1,16
10.5682,36.5039,N0,16
10.5682,0.000193541,N1,16
10.6261,37.2297,N0,16
10.6261,0.000196705,N1,16
10.6548,37.5961,N0,16
10.6548,0.000198298,N1,16
10.7121,38.3363,N0,16
10.7121,0.000201508,N1,16
10.769,39.0861,N0,16
10.769,0.000204748,N1,16
10.8255,39.8456,N0,16
10.8255,0.00020802,N1,16
10.8537,40.229,N0,16
10.8537,0.000209667,N1,16
10.9097,41.0032,N0,16
10.9097,0.000212984,N1,16
10.9653,41.7872,N0,16
10.9653,0.000216333,N1,16
11.0206,42.5812,N0,16
11.0206,0.000219713,N1,16
11.0756,43.3851,N0,16
11.0756,0.000223124,N1,16
11.1029,43.7909,N0,16
11.1029,0.000224841,N1,16
11.1573,44.6099,N0,16
11.1573,0.000228299,N1,16
11.2114,45.4391,N0,16
11.2114,0.000231788,N1,16
11.2652,46.2785,N0,16
11.2652,0.000235309,N1,16
11.3187,47.1282,N0,16
11.3187,0.000238862,N1,16
11.3718,47.9881,N0,16
11.3718,0.000242446,N1,16
11.4246,48.8585,N0,16
11.4246,0.000246062,N1,16
11.4509,49.2976,N0,16
11.4509,0.000247882,N1,16
11.5032,50.1837,N0,16
11.5032,0.000251545,N1,16
11.5552,51.0803,N0,16
11.5552,0.000255241,N1,16
11.607,51.9876,N0,16
11.607,0.000258969,N1,16
11.6584,52.9055,N0,16
11.6584,0.000262729,N1,16
11.7095,53.8341,N0,16
11.7095,0.000266522,N1,16
11.7603,54.7735,N0,16
11.7603,0.000270346,N1,16
11.8108,55.7238,N0,16
11.8108,0.000274204,N1,16
11.8611,56.685,N0,16
11.8611,0.000278093,N1,16
11.911,57.6572,N0,16
11.911,0.000282016,N1,16
11.9607,58.6405,N0,16
11.9607,0.000285971,N1,16
12.0101,59.6348,N0,16
12.0101,0.000289959,N1,16
12.0592,60.6403,N0,16
12.0592,0.000293979,N1,16
12.1081,61.6571,N0,16
12.1081,0.000298033,N1,16
12.1567,62.6851,N0,16
12.1567,0.00030212,N1,16
12.205,63.7245,N0,16
12.205,0.00030624,N1,16
12.253,64.7753,N0,16
12.253,0.000310393,N1,16
12.3008,65.8376,N0,16
12.3008,0.00031458,N1,16
12.372,67.4527,N0,16
12.372,0.000320922,N1,16
12.4191,68.544,N0,16
12.4191,0.000325192,N1,16
12.466,69.647,N0,16
12.466,0.000329496,N1,16
12.5127,70.7617,N0,16
12.5127,0.000333833,N1,16
12.5591,71.8883,N0,16
12.5591,0.000338205,N1,16
12.6053,73.0267,N0,16
12.6053,0.00034261,N1,16
12.6512,74.1771,N0,16
12.6512,0.000347049,N1,16
12.7196,75.9252,N0,16
12.7196,0.000353771,N1,16
12.7649,77.1058,N0,16
12.7649,0.000358295,N1,16
12.81,78.2984,N0,16
12.81,0.000362854,N1,16
12.8549,79.5034,N0,16
12.8549,0.000367447,N1,16
12.9218,81.3338,N0,16
12.9218,0.000374401,N1,16
12.9661,82.5696,N0,16
12.9661,0.000379079,N1,16
13.0101,83.8178,N0,16
13.0101,0.000383793,N1,16
13.054,85.0785,N0,16
13.054,0.000388541,N1,16
13.1194,86.9932,N0,16
13.1194,0.000395729,N1,16
13.1627,88.2855,N0,16
13.1627,0.000400564,N1,16
13.2058,89.5905,N0,16
13.2058,0.000405435,N1,16
13.2701,91.572,N0,16
13.2701,0.000412806,N1,16
13.3126,92.9091,N0,16
13.3126,0.000417764,N1,16
13.355,94.2591,N0,16
13.355,0.000422757,N1,16
13.4182,96.3085,N0,16
13.4182,0.000430313,N1,16
13.4601,97.6912,N0,16
13.4601,0.000435395,N1,16
13.5018,99.087,N0,16
13.5018,0.000440512,N1,16
13.5639,101.206,N0,16
13.5639,0.000448255,N1,16
13.6051,102.635,N0,16
13.6051,0.000453462,N1,16
13.6665,104.803,N0,16
13.6665,0.000461339,N1,16
13.7072,106.266,N0,16
13.7072,0.000466635,N1,16
13.768,108.485,N0,16
13.768,0.000474646,N1,16
13.8082,109.982,N0,16
13.8082,0.000480033,N1,16
13.8682,112.252,N0,16
13.8682,0.00048818,N1,16
13.908,113.783,N0,16
13.908,0.000493657,N1,16
13.9674,116.105,N0,16
13.9674,0.00050194,N1,16
14.0067,117.671,N0,16
14.0067,0.000507508,N1,16
14.0654,120.046,N0,16
14.0654,0.000515929,N1,16
14.1043,121.646,N0,16
14.1043,0.000521588,N1,16
14.1624,124.074,N0,16
14.1624,0.000530147,N1,16
14.2009,125.71,N0,16
14.2009,0.000535898,N1,16
14.2583,128.191,N0,16
14.2583,0.000544595,N1,16
14.3154,130.705,N0,16
14.3154,0.000553375,N1,16
14.3532,132.399,N0,16
14.3532,0.000559275,N1,16
14.4096,134.967,N0,16
14.4096,0.000568195,N1,16
14.4657,137.568,N0,16
14.4657,0.000577199,N1,16
14.5029,139.321,N0,16
14.5029,0.000583248,N1,16
14.5584,141.977,N0,16
14.5584,0.000592393,N1,16
14.6135,144.668,N0,16
14.6135,0.000601622,N1,16
14.6501,146.48,N0,16
14.6501,0.000607822,N1,16
14.7047,149.226,N0,16
14.7047,0.000617193,N1,16
14.7589,152.007,N0,16
14.7589,0.000626649,N1,16
14.8128,154.822,N0,16
14.8128,0.000636191,N1,16
14.8664,157.671,N0,16
14.8664,0.000645819,N1,16
14.9019,159.59,N0,16
14.9019,0.000652286,N1,16
14.9549,162.497,N0,16
14.9549,0.000662058,N1,16
15.0077,165.44,N0,16
15.0077,0.000671916,N1,16
15.0601,168.418,N0,16
15.0601,0.000681861,N1,16
15.1122,171.431,N0,16
15.1122,0.000691893,N1,16
15.164,174.48,N0,16
15.164,0.000702013,N1,16
15.2155,177.565,N0,16
15.2155,0.00071222,N1,16
15.2666,180.686,N0,16
15.2666,0.000722514,N1,16
15.3006,182.787,N0,16
15.3006,0.000729426,N1,16
15.3513,185.968,N0,16
15.3513,0.000739868,N1,16
15.4017,189.187,N0,16
15.4017,0.000750398,N1,16
15.4518,192.442,N0,16
15.4518,0.000761017,N1,16
15.5017,195.735,N0,16
15.5017,0.000771724,N1,16
15.5512,199.064,N0,16
15.5512,0.000782521,N1,16
15.6005,202.432,N0,16
15.6005,0.000793407,N1,16
15.6658,206.98,N0,16
15.6658,0.000808061,N1,16
15.7144,210.436,N0,16
15.7144,0.000819156,N1,16
15.7628,213.93,N0,16
15.7628,0.000830341,N1,16
15.8109,217.462,N0,16
15.8109,0.000841617,N1,16
15.8587,221.033,N0,16
15.8587,0.000852984,N1,16
15.9063,224.643,N0,16
15.9063,0.000864441,N1,16
15.9537,228.292,N0,16
15.9537,0.000875989,N1,16
16.0008,231.98,N0,16
16.0008,0.000887629,N1,16
16.0631,236.959,N0,16
16.0631,0.000903291,N1,16
16.1096,240.74,N0,16
16.1096,0.000915144,N1,16
16.1559,244.561,N0,16
16.1559,0.00092709,N1,16
16.2019,248.422,N0,16
16.2019,0.000939128,N1,16
16.2629,253.632,N0,16
16.2629,0.000955322,N1,16
16.3084,257.588,N0,16
16.3084,0.000967576,N1,16
16.3536,261.584,N0,16
16.3536,0.000979923,N1,16
16.4135,266.977,N0,16
16.4135,0.000996531,N1,16
16.4582,271.07,N0,16
16.4582,0.0010091,N1,16
16.5027,275.204,N0,16
16.5027,0.00102176,N1,16
16.5616,280.781,N0,16
16.5616,0.00103878,N1,16
16.6056,285.013,N0,16
16.6056,0.00105166,N1,16
16.6638,290.722,N0,16
16.6638,0.00106898,N1,16
16.7073,295.053,N0,16
16.7073,0.00108208,N1,16
16.7505,299.427,N0,16
16.7505,0.00109527,N1,16
16.8078,305.326,N0,16
16.8078,0.00111301,N1,16
16.8506,309.8,N0,16
16.8506,0.00112643,N1,16
16.9072,315.834,N0,16
16.9072,0.00114447,N1,16
16.9635,321.946,N0,16
16.9635,0.00116268,N1,16
17.0055,326.581,N0,16
17.0055,0.00117644,N1,16
17.0612,332.83,N0,16
17.0612,0.00119495,N1,16
17.1027,337.568,N0,16
17.1027,0.00120895,N1,16
17.1578,343.956,N0,16
17.1578,0.00122776,N1,16
17.2125,350.424,N0,16
17.2125,0.00124674,N1,16
17.2534,355.328,N0,16
17.2534,0.0012611,N1,16
17.3075,361.937,N0,16
17.3075,0.00128038,N1,16
17.3613,368.628,N0,16
17.3613,0.00129985,N1,16
17.4015,373.699,N0,16
17.4015,0.00131456,N1,16
17.4547,380.534,N0,16
17.4547,0.00133433,N1,16
17.5076,387.451,N0,16
17.5076,0.00135427,N1,16
17.5602,394.451,N0,16
17.5602,0.00137439,N1,16
17.6125,401.535,N0,16
17.6125,0.00139469,N1,16
17.6515,406.903,N0,16
17.6515,0.00141003,N1,16
17.7033,414.135,N0,16
17.7033,0.00143064,N1,16
17.7547,421.453,N0,16
17.7547,0.00145142,N1,16
17.8059,428.855,N0,16
17.8059,0.00147239,N1,16
17.8568,436.344,N0,16
17.8568,0.00149353,N1,16
17.9073,443.92,N0,16
17.9073,0.00151486,N1,16
17.9576,451.583,N0,16
17.9576,0.00153636,N1,16
18.0076,459.333,N0,16
18.0076,0.00155805,N1,16
18.0573,467.171,N0,16
18.0573,0.00157991,N1,16
18.1067,475.099,N0,16
18.1067,0.00160196,N1,16
18.1559,483.115,N0,16
18.1559,0.00162419,N1,16
18.2048,491.221,N0,16
18.2048,0.0016466,N1,16
18.2534,499.417,N0,16
18.2534,0.00166919,N1,16
18.3017,507.703,N0,16
18.3017,0.00169197,N1,16
18.3618,518.19,N0,16
18.3618,0.0017207,N1,16
18.4095,526.683,N0,16
18.4095,0.0017439,N1,16
18.457,535.267,N0,16
18.457,0.00176727,N1,16
18.5043,543.945,N0,16
18.5043,0.00179084,N1,16
18.5513,552.715,N0,16
18.5513,0.00181459,N1,16
18.6097,563.811,N0,16
18.6097,0.00184454,N1,16
18.6561,572.793,N0,16
18.6561,0.0018687,N1,16
18.7023,581.87,N0,16
18.7023,0.00189306,N1,16
18.7597,593.351,N0,16
18.7597,0.00192377,N1,16
18.8053,602.643,N0,16
18.8053,0.00194855,N1,16
18.8507,612.032,N0,16
18.8507,0.00197352,N1,16
18.9072,623.905,N0,16
18.9072,0.002005,N1,16
18.9521,633.513,N0,16
18.9521,0.00203039,N1,16
19.0079,645.661,N0,16
19.0079,0.00206241,N1,16
19.0523,655.49,N0,16
19.0523,0.00208823,N1,16
19.1074,667.916,N0,16
19.1074,0.00212078,N1,16
19.1513,677.969,N0,16
19.1513,0.00214704,N1,16
19.2059,690.677,N0,16
19.2059,0.00218013,N1,16
19.2601,703.543,N0,16
19.2601,0.00221352,N1,16
19.3032,713.949,N0,16
19.3032,0.00224045,N1,16
19.3569,727.101,N0,16
19.3569,0.00227439,N1,16
19.4102,740.414,N0,16
19.4102,0.00230863,N1,16
19.4526,751.18,N0,16
19.4526,0.00233625,N1,16
19.5053,764.784,N0,16
19.5053,0.00237104,N1,16
19.5577,778.551,N0,16
19.5577,0.00240614,N1,16
19.6098,792.482,N0,16
19.6098,0.00244154,N1,16
19.6513,803.745,N0,16
19.6513,0.00247009,N1,16
19.7028,817.975,N0,16
19.7028,0.00250605,N1,16
19.7541,832.371,N0,16
19.7541,0.00254232,N1,16
19.805,846.935,N0,16
19.805,0.0025789,N1,16
19.8557,861.667,N0,16
19.8557,0.00261579,N1,16
19.9061,876.57,N0,16
19.9061,0.002653,N1,16
19.9562,891.643,N0,16
19.9562,0.00269051,N1,16
20.006,906.889,N0,16
20.006,0.00272835,N1,16
20.0555,922.307,N0,16
20.0555,0.00276649,N1,16
20.1047,937.898,N0,16
20.1047,0.00280495,N1,16
20.1537,953.664,N0,16
20.1537,0.00284373,N1,16
20.2024,969.606,N0,16
20.2024,0.00288283,N1,16
20.2509,985.725,N0,16
20.2509,0.00292224,N1,16
20.3086,1005.3,N0,16
20.3086,0.00296996,N1,16
20.3565,1021.81,N0,16
20.3565,0.00301007,N1,16
20.4041,1038.5,N0,16
20.4041,0.00305051,N1,16
20.4514,1055.37,N0,16
20.4514,0.00309127,N1,16
20.5079,1075.86,N0,16
20.5079,0.00314061,N1,16
20.5547,1093.13,N0,16
20.5547,0.00318207,N1,16
20.6012,1110.59,N0,16
20.6012,0.00322387,N1,16
20.6568,1131.78,N0,16
20.6568,0.00327445,N1,16
20.7028,1149.64,N0,16
20.7028,0.00331696,N1,16
20.7577,1171.33,N0,16
20.7577,0.0033684,N1,16
20.8031,1189.6,N0,16
20.8031,0.00341163,N1,16
20.8574,1211.78,N0,16
20.8574,0.00346393,N1,16
20.9024,1230.48,N0,16
20.9024,0.00350789,N1,16
20.9561,1253.16,N0,16
20.9561,0.00356106,N1,16
21.0005,1272.28,N0,16
21.0005,0.00360574,N1,16
21.0536,1295.47,N0,16
21.0536,0.0036598,N1,16
21.1064,1318.95,N0,16
21.1064,0.00371433,N1,16
21.1501,1338.72,N0,16
21.1501,0.00376014,N1,16
21.2023,1362.72,N0,16
21.2023,0.00381556,N1,16
21.2542,1386.99,N0,16
21.2542,0.00387145,N1,16
21.3057,1411.56,N0,16
21.3057,0.00392784,N1,16
21.357,1436.41,N0,16
21.357,0.00398471,N1,16
21.408,1461.55,N0,16
21.408,0.00404206,N1,16
21.4502,1482.72,N0,16
21.4502,0.00409023,N1,16
21.5007,1508.4,N0,16
21.5007,0.00414848,N1,16
21.5508,1534.37,N0,16
21.5508,0.00420723,N1,16
21.6007,1560.64,N0,16
21.6007,0.00426646,N1,16
21.6503,1587.21,N0,16
21.6503,0.00432619,N1,16
21.7078,1618.58,N0,16
21.7078,0.0043965,N1,16
21.7568,1645.8,N0,16
21.7568,0.0044573,N1,16
21.8055,1673.32,N0,16
21.8055,0.0045186,N1,16
21.854,1701.15,N0,16
21.854,0.0045804,N1,16
21.9021,1729.29,N0,16
21.9021,0.0046427,N1,16
21.9501,1757.73,N0,16
21.9501,0.00470551,N1,16
22.0057,1791.3,N0,16
22.0057,0.00477941,N1,16
22.053,1820.42,N0,16
22.053,0.0048433,N1,16
22.1001,1849.85,N0,16
22.1001,0.0049077,N1,16
22.1548,1884.58,N0,16
22.1548,0.00498347,N1,16
22.2014,1914.7,N0,16
22.2014,0.00504897,N1,16
22.2554,1950.24,N0,16
22.2554,0.00512603,N1,16
22.3014,1981.04,N0,16
22.3014,0.00519263,N1,16
22.3549,2017.4,N0,16
